AssemblyAccession	Scientific.Name	taxID
GCF_900215245.1	Pseudomonas fluorescens	294
GCF_012986865.1	Pseudomonas fragi	296
GCF_003574215.1	Hydrogenophilus thermoluteolus	297
GCF_008692035.1	Pseudomonas marginalis	298
GCF_000967935.1	Pseudomonas marginalis	298
GCF_004342485.1	Pelomonas saccharophila	304
GCF_001587155.1	Ralstonia solanacearum	305
GCF_015680045.1	Stutzerimonas stutzeri	316
GCF_900113625.1	Pseudomonas syringae	317
GCF_902374465.1	Ralstonia pickettii	329
GCF_009931375.1	Burkholderia glumae	337
GCF_001462145.1	Xanthomonas translucens	343
GCF_015243835.1	Xanthomonas citri	346
GCF_006539865.1	Zoogloea ramigera	350
GCF_002220155.1	Azotobacter chroococcum	353
GCF_003667905.1	Agrobacterium tumefaciens	358
GCF_000799685.1	Agrobacterium rhizogenes	359
GCF_001541345.2	Agrobacterium vitis	373
GCF_003148495.1	Mesorhizobium loti	381
GCF_004306555.1	Rhizobium leguminosarum	384
GCF_001664385.1	Rhizobium phaseoli	396
GCF_003096615.1	Methylobacterium organophilum	410
GCF_001644045.1	Methylomonas methanica	421
GCF_003113265.1	Methylosinus sporium	428
GCF_014843995.1	Novacetimonas hansenii	436
GCF_004346035.1	Acidomonas methanolica	437
GCF_001941585.1	Legionella pneumophila	446
GCF_900450575.1	Legionella bozemanae	447
GCF_001467615.1	Legionella erythra	448
GCF_000953655.1	Legionella hackeliae	449
GCF_900461575.1	Legionella longbeachae	450
GCF_000953635.1	Tatlockia micdadei	451
GCF_900637495.1	Legionella spiritensis	452
GCF_900461565.1	Legionella feeleii	453
GCF_004564155.1	Legionella israelensis	454
GCF_003703435.1	Legionella jordanis	456
GCF_900640015.1	Legionella rubrilucens	458
GCF_900452835.1	Legionella steigerwaltii	460
GCF_900450965.1	Fluoribacter gormanii	464
GCF_900460175.1	Legionella maceachernii	466
GCF_002116925.1	Acinetobacter baumannii	470
GCF_002055515.1	Acinetobacter calcoaceticus	471
GCF_003287015.1	Moraxella bovis	476
GCF_002027545.1	Moraxella lacunata	477
GCF_016028775.1	Moraxella nonliquefaciens	478
GCF_900475315.1	Neisseria cinerea	483
GCF_005221285.1	Neisseria flavescens	484
GCF_001047275.1	Neisseria gonorrhoeae	485
GCF_003351565.1	Neisseria lactamica	486
GCF_008330805.1	Neisseria meningitidis	487
GCF_900454435.1	Neisseria mucosa	488
GCF_003355195.1	Neisseria polysaccharea	489
GCF_003044425.1	Neisseria sicca	490
GCF_008806995.1	Neisseria animalis	492
GCF_900636765.1	Neisseria canis	493
GCF_900453875.1	Bergeriella denitrificans	494
GCF_003351545.1	Neisseria elongata	495
GCF_003148585.1	Psychrobacter immobilis	498
GCF_900451365.1	Kingella denitrificans	502
GCF_014054985.1	Kingella oralis	505
GCF_000967305.2	Alcaligenes faecalis	511
GCF_900636925.1	Bordetella bronchiseptica	518
GCF_004323615.1	Bordetella parapertussis	519
GCF_900156265.1	Acidiphilium rubrum	526
GCF_015326295.1	Brucella anthropi	529
GCF_900451195.1	Iodobacter fluviatilis	537
GCF_900187105.1	Eikenella corrodens	539
GCF_001858105.1	Citrobacter koseri	545
GCF_003812345.1	Citrobacter freundii	546
GCF_900637945.1	Klebsiella aerogenes	548
GCF_003860325.1	Pantoea agglomerans	549
GCF_000770155.1	Enterobacter cloacae	550
GCF_013488025.1	Pectobacterium carotovorum	554
GCF_013892435.1	Escherichia fergusonii	564
GCF_008064855.1	Atlantibacter hermannii	565
GCF_011617105.1	Hafnia alvei	569
GCF_000783935.2	Raoultella planticola	575
GCF_012029655.1	Raoultella terrigena	577
GCF_014283975.1	Morganella morganii	582
GCF_000754995.1	Proteus vulgaris	585
GCF_003204135.1	Providencia rettgeri	587
GCF_016006105.1	Serratia liquefaciens	614
GCF_015160915.1	Serratia marcescens	615
GCF_002206385.2	Serratia odorifera	618
GCF_003572305.1	Shigella boydii	621
GCF_015475595.1	Shigella dysenteriae	622
GCF_002247485.1	Shigella sonnei	624
GCF_014295015.1	Xenorhabdus nematophila	628
GCF_000987925.1	Yersinia enterocolitica	630
GCF_009730055.1	Yersinia intermedia	631
GCF_900637475.1	Yersinia pseudotuberculosis	633
GCF_001319545.1	Yersinia bercovieri	634
GCF_002504285.1	Edwardsiella tarda	636
GCF_003491245.1	Aeromonas hydrophila	644
GCF_012931585.1	Aeromonas salmonicida	645
GCF_000820145.1	Aeromonas sobria	646
GCF_000783715.2	Aeromonas caviae	648
GCF_000819865.1	Aeromonas eucrenophila	649
GCF_014161425.1	Aeromonas media	651
GCF_001481395.1	Aeromonas schubertii	652
GCF_008693705.1	Aeromonas veronii	654
GCF_016026615.1	Aeromonas allosaccharophila	656
GCF_002954725.1	Photobacterium phosphoreum	659
GCF_003026895.1	Photobacterium angustum	661
GCF_001471275.2	Vibrio alginolyticus	663
GCF_004359415.1	Aliivibrio fischeri	668
GCF_000770115.1	Vibrio harveyi	669
GCF_004006515.1	Vibrio parahaemolyticus	670
GCF_008693685.1	Vibrio vulnificus	672
GCF_001558255.2	Grimontia hollisae	673
GCF_900460255.1	Vibrio cincinnatiensis	675
GCF_001558415.2	Vibrio fluvialis	676
GCF_003312585.1	Vibrio campbellii	680
GCF_002892925.1	Vibrio diazotrophicus	685
GCF_001691055.1	Aliivibrio logei	688
GCF_002214345.1	Vibrio mediterranei	689
GCF_012273295.1	Plesiomonas shigelloides	703
GCF_001594245.1	Aggregatibacter actinomycetemcomitans	714
GCF_003290385.1	Actinobacillus pleuropneumoniae	715
GCF_900444945.1	Actinobacillus lignieresii	720
GCF_900460625.1	Actinobacillus seminis	722
GCF_900445015.1	Actinobacillus ureae	723
GCF_900477945.1	Haemophilus haemolyticus	726
GCF_000767075.1	Haemophilus influenzae	727
GCF_015354885.1	Avibacterium paragallinarum	728
GCF_001647695.1	[Haemophilus] ducreyi	730
GCF_002162215.1	Histophilus somni	731
GCF_900450725.1	Canicola haemoglobinophilus	733
GCF_002015115.1	Haemophilus paracuniculus	734
GCF_900451065.1	Haemophilus paraphrohaemolyticus	736
GCF_003061265.1	Pasteurella multocida	747
GCF_900450735.1	Gallibacterium anatis	750
GCF_900454535.1	Avibacterium avium	751
GCF_009826815.1	Pasteurella canis	753
GCF_900186835.1	Pasteurella dagmatis	754
GCF_004362535.1	Avibacterium gallinarum	755
GCF_000730685.1	Rodentibacter pneumotropicus	758
GCF_900454705.1	Pasteurella testudinis	761
GCF_900635775.1	Avibacterium volantium	762
GCF_027627535.1	Coxiella burnetii	777
GCF_013460375.1	Ehrlichia ruminantium	779
GCF_027252975.1	Rickettsia rickettsii	783
GCF_900327275.1	Orientia tsutsugamushi	784
GCF_009936175.1	Bartonella quintana	803
GCF_900638615.1	Bartonella elizabethae	807
GCF_001286525.1	Bacteroides fragilis	817
GCF_014131755.1	Bacteroides thetaiotaomicron	818
GCF_001406095.1	Bacteroides uniformis	820
GCF_013267615.1	Parabacteroides distasonis	823
GCF_001190745.1	Campylobacter gracilis	824
GCF_900456835.1	Sebaldella termitidis	826
GCF_002127965.1	Oxalobacter formigenes	847
GCF_003312465.1	Faecalibacterium prausnitzii	853
GCF_900450765.1	Fusobacterium necrogenes	858
GCF_003019675.1	Fusobacterium ulcerans	861
GCF_015732285.1	Pectinatus frisingensis	865
GCF_900115655.1	Ruminobacter amylophilus	867
GCF_013371475.1	Desulfuromonas acetoxidans	891
GCF_001854245.1	Desulfococcus multivorans	897
GCF_902373865.1	Desulfovibrio piger	901
GCF_900106875.1	Nitrosomonas eutropha	916
GCF_900110145.1	Nitrosomonas marina	917
GCF_002028405.1	Thiomonas intermedia	926
GCF_012790675.1	Anaplasma platys	949
GCF_014107475.1	Wolbachia pipientis	955
GCF_006874605.1	Bacteriovorax stolpii	960
GCF_001040945.1	Herbaspirillum seropedicae	964
GCF_900142775.1	Flavobacterium flevense	983
GCF_004104035.1	Leeuwenhoekiella marinoflava	988
GCF_003254275.1	Breznakibacter xylanolyticus	990
GCF_002217335.1	Flavobacterium hydatis	991
GCF_014844295.1	Flavobacterium columnare	996
GCF_900113045.1	Thermoflexibacter ruber	1003
GCF_900119105.1	Chitinophaga sancti	1004
GCF_900102835.1	Sphingobacterium mizutaii	1010
GCF_900637795.1	Weeksella virosa	1014
GCF_900445655.1	Bergeyella zoohelcum	1015
GCF_002302415.1	Capnocytophaga gingivalis	1017
GCF_002302495.1	Capnocytophaga sputigena	1019
GCF_900177665.1	Marivirga sericea	1028
GCF_900445155.1	Afipia felis	1035
GCF_000715015.1	Erythrobacter longus	1044
GCF_004343155.1	Marichromatium gracile	1048
GCF_002356555.2	Halorhodospira halochloris	1052
GCF_900106925.1	Thiocapsa roseopersicina	1058
GCF_014622665.1	Rhodobacter capsulatus	1061
GCF_014197755.1	Rhodocyclus tenuis	1066
GCF_002937115.1	Rhodopila globiformis	1071
GCF_900187365.1	Rhodoblastus acidophilus	1074
GCF_003071405.1	Fuscovulum blasticum	1075
GCF_013415845.1	Rhodopseudomonas palustris	1076
GCF_001402875.1	Blastochloris viridis	1079
GCF_900108475.1	Magnetospirillum fulvum	1082
GCF_006265245.1	Prosthecochloris vibrioformis	1098
GCF_001663175.1	Erythrobacter neustonensis	1112
GCF_000012525.1	Synechococcus elongatus PCC 7942 = FACHB-805	1140
GCF_900109785.1	Nitrosovibrio tenuis	1233
GCF_001746795.1	Piscirickettsia salmonis	1238
GCF_009913915.1	Leuconostoc mesenteroides	1245
GCF_002287365.1	Leuconostoc lactis	1246
GCF_002966535.1	Oenococcus oeni	1247
GCF_011009625.1	Weissella paramesenteroides	1249
GCF_004354645.1	Leuconostoc fallax	1251
GCF_007954525.1	Leuconostoc carnosum	1252
GCF_013127755.1	Pediococcus acidilactici	1254
GCF_002243135.1	Finegoldia magna	1260
GCF_900454605.1	Peptostreptococcus anaerobius	1261
GCF_902362755.1	Sarcina ventriculi	1267
GCF_006539885.1	Kocuria varians	1272
GCF_900163825.1	Micrococcus lylae	1273
GCF_900447535.1	Dermacoccus nishinomiyaensis	1274
GCF_006094695.1	Kocuria rosea	1275
GCF_900452405.1	Kytococcus sedentarius	1276
GCF_900458435.1	Staphylococcus carnosus	1281
GCF_006094375.1	Staphylococcus epidermidis	1282
GCF_001611955.1	Staphylococcus haemolyticus	1283
GCF_000816085.1	Staphylococcus hyicus	1284
GCF_003579335.1	Staphylococcus simulans	1286
GCF_000709415.1	Staphylococcus xylosus	1288
GCF_003812505.1	Staphylococcus hominis	1290
GCF_900636255.1	Staphylococcus warneri	1292
GCF_003577645.1	Staphylococcus gallinarum	1293
GCF_900187005.1	Staphylococcus muscae	1294
GCF_001548255.1	Staphylococcus schleiferi	1295
GCF_900474615.1	Mammaliicoccus sciuri	1296
GCF_008329785.1	Deinococcus radiodurans	1299
GCF_901544385.1	Streptococcus gordonii	1302
GCF_902858935.1	Streptococcus salivarius	1304
GCF_001558215.1	Streptococcus mutans	1309
GCF_003172975.1	Streptococcus sobrinus	1310
GCF_900638415.1	Streptococcus agalactiae	1311
GCF_900618125.1	Streptococcus pneumoniae	1313
GCF_001267845.1	Streptococcus pyogenes	1314
GCF_001071155.1	Streptococcus parasanguinis	1318
GCF_900459315.1	Faecalicoccus pleomorphus	1323
GCF_900459045.1	Streptococcus acidominimus	1326
GCF_001412635.1	Streptococcus anginosus	1328
GCF_900636575.1	Streptococcus canis	1329
GCF_901543725.1	Streptococcus dysgalactiae	1334
GCF_009758075.1	Streptococcus equinus	1335
GCF_900459405.1	Streptococcus hyointestinalis	1337
GCF_900475975.1	Streptococcus intermedius	1338
GCF_901553735.1	Streptococcus porcinus	1340
GCF_008803015.1	Streptococcus ratti	1341
GCF_900636445.1	Streptococcus vestibularis	1343
GCF_900475025.1	Streptococcus ferus	1345
GCF_003697605.1	Streptococcus iniae	1346
GCF_900460135.1	Streptococcus uberis	1349
GCF_010120755.1	Enterococcus faecium	1352
GCF_001886155.1	Enterococcus gallinarum	1353
GCF_002278015.2	Enterococcus hirae	1354
GCF_016026695.1	Lactococcus garvieae	1363
GCF_002441695.1	Lactococcus piscium	1364
GCF_002310475.1	Lactococcus raffinolactis	1366
GCF_900166605.1	Marinococcus halophilus	1371
GCF_003664125.1	Planococcus citreus	1373
GCF_001465835.2	Planococcus kocurii	1374
GCF_001543175.1	Aerococcus urinae	1376
GCF_900638055.1	Gemella haemolysans	1379
GCF_013122255.1	Bacillus amyloliquefaciens	1390
GCF_012844185.1	Aneurinibacillus aneurinilyticus	1391
GCF_900637055.1	Brevibacillus brevis	1393
GCF_013267435.1	Niallia circulans	1397
GCF_001587215.1	Weizmannia coagulans	1398
GCF_013345775.1	Cytobacillus firmus	1399
GCF_015582655.1	Priestia megaterium	1404
GCF_000160975.1	Bacillus mycoides	1405
GCF_000785455.1	Paenibacillus polymyxa	1406
GCF_002998365.1	Bacillus pumilus	1408
GCF_002982115.1	Lysinibacillus sphaericus	1421
GCF_003667675.1	Geobacillus stearothermophilus	1422
GCF_001700985.1	Parageobacillus thermoglucosidasius	1426
GCF_001956035.1	Paenibacillus amylolyticus	1451
GCF_000829555.1	Bacillus badius	1455
GCF_014207535.1	Bacillus benzoevorans	1456
GCF_001274725.1	Sporosarcina globispora	1459
GCF_003254155.1	Psychrobacillus insolitus	1461
GCF_900478165.1	Lederbergia lenta	1467
GCF_001189575.1	Virgibacillus pantothenticus	1473
GCF_004379295.1	Sporosarcina pasteurii	1474
GCF_001590685.1	Sporosarcina psychrophila	1476
GCF_001050115.1	Bacillus smithii	1479
GCF_001878675.1	Virgibacillus halodenitrificans	1482
GCF_001653195.1	Hydrogenibacillus schlegelii	1484
GCF_003058345.1	Clostridium botulinum	1491
GCF_003315755.1	Clostridium butyricum	1492
GCF_900187165.1	Clostridium cochlearium	1494
GCF_002007885.1	Clostridioides difficile	1496
GCF_002080475.1	Clostridium formicaceticum	1497
GCF_901482605.1	Hathewaya histolytica	1498
GCF_001856695.1	Clostridium pasteurianum	1501
GCF_001190785.1	Gottschalkia purinilytica	1503
GCF_003606265.1	Clostridium septicum	1504
GCF_002865995.1	Paeniclostridium sordellii	1505
GCF_001020205.1	Clostridium sporogenes	1509
GCF_000196455.1	Acetoanaerobium sticklandii	1511
GCF_008632235.1	[Clostridium] symbiosum	1512
GCF_900102395.1	Thermoanaerobacter thermohydrosulfuricus	1516
GCF_001642655.1	Clostridium tyrobutyricum	1519
GCF_013294165.1	Clostridium beijerinckii	1520
GCF_012317185.1	[Clostridium] innocuum	1522
GCF_001874605.1	Moorella thermoacetica	1525
GCF_900112885.1	[Clostridium] aminophilum	1526
GCF_900205915.1	Anaerocolumna aminovalerica	1527
GCF_900107125.1	Eubacterium barkeri	1528
GCF_900217165.1	Clostridium cadaveris	1529
GCF_013304225.1	Enterocloster clostridioformis	1531
GCF_900461125.1	Blautia coccoides	1532
GCF_900129365.1	Clostridium fallax	1533
GCF_014333445.1	Terrisporobacter mayombei	1541
GCF_003149245.1	Faecalicatena orotica	1544
GCF_015560315.1	Thomasclavelia ramosa	1547
GCF_000968375.1	Clostridium scatologenes	1548
GCF_001877035.1	Clostridium estertheticum subsp. estertheticum	1552
GCF_013294265.1	Clostridium tetanomorphum	1553
GCF_900205935.1	Clostridium tertium	1559
GCF_001991075.2	Clostridium baratii	1561
GCF_002081995.1	Sporosarcina ureae	1571
GCF_900475625.1	Levilactobacillus brevis	1580
GCF_005047285.1	Lentilactobacillus buchneri	1581
GCF_004771075.1	Weissella confusa	1583
GCF_002849915.1	Lactobacillus helveticus	1587
GCF_011765585.1	Lentilactobacillus hilgardii	1588
GCF_003641185.1	Lactiplantibacillus pentosus	1589
GCF_003269405.1	Lactiplantibacillus plantarum	1590
GCF_000019245.4	Lacticaseibacillus paracasei	1597
GCF_015377805.1	Limosilactobacillus reuteri	1598
GCF_009676365.1	Latilactobacillus sakei	1599
GCF_008831485.1	Lactobacillus acetotolerans	1600
GCF_002848195.1	Ligilactobacillus agilis	1601
GCF_007991795.1	Companilactobacillus alimentarius	1602
GCF_005049155.1	Lactobacillus amylovorus	1604
GCF_009933595.1	Ligilactobacillus animalis	1605
GCF_009650015.1	Loigolactobacillus bifermentans	1607
GCF_006538825.1	Limosilactobacillus fermentum	1613
GCF_001436985.1	Fructilactobacillus fructivorans	1614
GCF_009496955.1	Fructilactobacillus fructivorans	1614
GCF_001438705.1	Weissella kandleri	1616
GCF_001437425.1	Weissella minor	1620
GCF_009496975.1	Fructilactobacillus sanfranciscensis	1625
GCF_014789145.1	Weissella viridescens	1629
GCF_902787035.1	Kandleria vitulina	1630
GCF_014489725.1	Fructobacillus fructosus	1631
GCF_009362935.1	Limosilactobacillus vaginalis	1633
GCF_900638015.1	Listeria grayi	1641
GCF_015276835.1	Listeria innocua	1642
GCF_900187315.1	Listeria welshimeri	1643
GCF_900637845.1	Erysipelothrix rhusiopathiae	1648
GCF_004363595.1	Kurthia zopfii	1650
GCF_002847585.1	Actinomyces naeslundii	1655
GCF_900637975.1	Actinomyces viscosus	1656
GCF_900618115.1	Actinobaculum suis	1657
GCF_900444995.1	Actinomyces bovis	1658
GCF_900637225.1	Actinomyces israelii	1659
GCF_900445025.1	Schaalia odontolytica	1660
GCF_000612055.1	Trueperella pyogenes	1661
GCF_002909415.1	Arthrobacter glacialis	1664
GCF_009192745.1	Arthrobacter citreus	1670
GCF_013314975.1	Pseudarthrobacter oxydans	1671
GCF_014873945.1	Rhizobium viscosum	1673
GCF_014644495.1	Pseudarthrobacter polychromogenes	1676
GCF_003030905.1	Bifidobacterium adolescentis	1680
GCF_000737865.1	Bifidobacterium coryneforme	1687
GCF_000741575.1	Bifidobacterium cuniculi	1688
GCF_002282915.1	Bifidobacterium pseudolongum	1694
GCF_902381765.1	Corynebacterium ammoniagenes	1697
GCF_003999335.1	Brevibacterium linens	1703
GCF_001941345.1	Corynebacterium stationis	1705
GCF_004306155.1	Cellulomonas biazotea	1709
GCF_007362135.1	Cellulosimicrobium cellulans	1710
GCF_014647015.1	Cellulomonas gelida	1712
GCF_004121315.1	Oerskovia turbata	1713
GCF_011759685.1	Cellulomonas uda	1714
GCF_001457455.1	Corynebacterium diphtheriae	1717
GCF_001912155.1	Corynebacterium glutamicum	1718
GCF_900478035.1	Corynebacterium renale	1724
GCF_003641245.1	Corynebacterium xerosis	1725
GCF_006539825.1	Corynebacterium variabile	1727
GCF_900104415.1	Eubacterium oxidoreducens	1732
GCF_902377625.1	Holdemanella biformis	1735
GCF_000807675.2	Eubacterium limosum	1736
GCF_015668515.1	[Eubacterium] tenue	1737
GCF_900087655.1	Propionibacterium freudenreichii	1744
GCF_001975205.1	Acidipropionibacterium acidipropionici	1748
GCF_005890135.1	Acidipropionibacterium jensenii	1749
GCF_900637725.1	Arachnia propionica	1750
GCF_006716235.1	Propioniferax innocua	1753
GCF_001307545.1	Mycolicibacterium fortuitum	1766
GCF_003253775.1	Mycobacterium leprae	1769
GCF_900453675.1	Mycolicibacterium phlei	1771
GCF_001457595.1	Mycolicibacterium smegmatis	1772
GCF_010727945.1	Mycobacterium cookii	1775
GCF_001722335.1	Mycolicibacterium flavescens	1776
GCF_002102175.1	Mycobacterium gastri	1777
GCF_002101675.1	Mycobacterium gordonae	1778
GCF_002086305.1	Mycobacterium malmoense	1780
GCF_002101775.1	Mycolicibacter nonchromogenicus	1782
GCF_002086735.1	Mycobacterium scrofulaceum	1783
GCF_010727605.1	Mycobacterium simiae	1784
GCF_002250655.1	Mycolicibacterium sphagni	1786
GCF_002116635.1	Mycobacterium szulgai	1787
GCF_900187145.1	Mycolicibacter terrae	1788
GCF_900453395.1	Mycobacterium xenopi	1789
GCF_900637195.1	Mycolicibacterium aurum	1791
GCF_900637205.1	Mycolicibacterium chitae	1792
GCF_010726955.1	Mycolicibacterium fallax	1793
GCF_010728925.1	Mycolicibacterium gadium	1794
GCF_900101555.1	Mycolicibacterium neoaurum	1795
GCF_900187065.1	Mycolicibacterium thermoresistibile	1797
GCF_002102395.1	Mycolicibacillus trivialis	1798
GCF_010726245.1	Mycolicibacterium aichiense	1799
GCF_900453455.1	Mycolicibacterium chubuense	1800
GCF_001907655.1	Mycolicibacterium diernhoferi	1801
GCF_000723385.1	Mycolicibacterium farcinogenes	1802
GCF_900454025.1	Mycolicibacterium gilvum	1804
GCF_004359005.1	Mycolicibacterium obuense	1807
GCF_014648415.1	Actinokineospora fastidiosa	1816
GCF_007362295.1	Nocardia otitidiscaviarum	1823
GCF_900637185.1	Nocardia asteroides	1824
GCF_900187265.1	Rhodococcus rhodochrous	1829
GCF_003086595.1	Rhodococcus ruber	1830
GCF_900455855.1	Rhodococcus erythropolis	1833
GCF_008630535.1	Saccharopolyspora hirsuta	1837
GCF_013410345.1	Saccharopolyspora hordei	1838
GCF_014191915.1	Nocardioides albus	1841
GCF_014648595.1	Nocardioides luteus	1844
GCF_900142365.1	Pseudonocardia thermophila	1848
GCF_000948395.1	Frankia torreyi	1856
GCF_900187045.1	Dermatophilus congolensis	1863
GCF_014205335.1	Actinoplanes digitatis	1868
GCF_000785985.1	Actinoplanes utahensis	1869
GCF_002926165.1	Micromonospora chalcea	1874
GCF_900091495.1	Micromonospora echinospora	1877
GCF_007830265.1	Micromonospora olivasterospora	1880
GCF_900091545.1	Micromonospora viridifaciens	1881
GCF_000359525.1	Streptomyces albidoflavus	1886
GCF_014650475.1	Streptomyces albogriseolus	1887
GCF_000813365.1	Streptomyces albus	1888
GCF_001514065.1	Streptomyces antibioticus	1890
GCF_001434355.1	Streptomyces anulatus	1892
GCF_014648655.1	Streptomyces atratus	1893
GCF_001188955.3	Kitasatospora aureofaciens	1894
GCF_014649975.1	Kitasatospora aureofaciens	1894
GCF_000721255.1	Kitasatospora aureofaciens	1894
GCF_014650695.1	Streptomyces avidinii	1895
GCF_000716625.1	Streptomyces bikiniensis	1896
GCF_015767775.1	Streptomyces clavuligerus	1901
GCF_001514055.1	Streptomyces corchorusii	1903
GCF_004028635.1	Streptomyces cyaneus	1904
GCF_000725545.1	Streptomyces exfoliatus	1905
GCF_002154375.1	Streptomyces glaucescens	1907
GCF_000514055.1	Streptomyces griseolus	1909
GCF_014656055.1	Streptomyces griseosporeus	1910
GCF_008016805.1	Streptomyces lavendulae	1914
GCF_003344445.1	Streptomyces lincolnensis	1915
GCF_014650075.1	Streptomyces microflavus	1919
GCF_014650115.1	Streptomyces olivaceoviridis	1921
GCF_014650135.1	Streptomyces plicatus	1922
GCF_001418655.1	Streptomyces phaeochromogenes	1923
GCF_014650155.1	Streptomyces purpurascens	1924
GCF_008704655.1	Streptomyces rimosus	1927
GCF_002155895.1	Streptomyces rochei	1928
GCF_014649895.1	Streptomyces rubiginosus	1929
GCF_014650435.1	Streptomyces tendae	1932
GCF_002155915.1	Streptomyces thermovulgaris	1934
GCF_002082175.1	Streptomyces violaceoruber	1935
GCF_002286695.1	Streptomyces albireticuli	1940
GCF_014650555.1	Streptomyces goshikiensis	1942
GCF_001514205.1	Streptomyces griseoruber	1943
GCF_000720535.1	Streptomyces halstedii	1944
GCF_009600885.1	Streptomyces jumonjinensis	1945
GCF_002261115.1	Streptomyces kasugaensis	1946
GCF_014647875.1	Streptomyces brasiliensis	1954
GCF_014647715.1	Streptomyces cinereus	1955
GCF_008704935.1	Streptomyces vinaceus	1960
GCF_014648795.1	Streptomyces virginiae	1961
GCF_000720455.1	Streptomyces virginiae	1961
GCF_002335465.1	Streptomyces olivochromogenes	1963
GCF_008704495.1	Streptomyces kanamyceticus	1967
GCF_014655195.1	Streptomyces cellulosae	1968
GCF_008704715.1	Streptomyces chartreusis	1969
GCF_014656115.1	Streptomyces morookaense	1970
GCF_014650635.1	Streptomyces noursei	1971
GCF_014648495.1	Actinomadura cremea	1991
GCF_900108175.1	Thermomonospora echinospora	1992
GCF_900115095.1	Actinomadura madurae	1993
GCF_001570365.1	Microtetraspora fusca	1997
GCF_014203605.1	Planomonospora venezuelensis	1999
GCF_000721075.1	Streptosporangium amethystogenes	2002
GCF_002260685.1	Nocardiopsis dassonvillei	2014
GCF_900129375.1	Streptoalloteichus hindustanus	2017
GCF_013867715.1	Thermoactinomyces intermedius	2024
GCF_005886755.1	Thermoactinomyces vulgaris	2026
GCF_900176515.1	Kibdelosporangium aridum	2030
GCF_006539145.1	Microbacterium testaceum	2033
GCF_014156405.1	Curtobacterium flaccumfaciens	2035
GCF_006715175.1	Curtobacterium citreum	2036
GCF_001509405.1	Aeromicrobium erythreum	2041
GCF_000785495.1	Pimelobacter simplex	2045
GCF_014204735.1	Mobiluncus mulieris	2052
GCF_901542405.1	Gordonia terrae	2055
GCF_000836635.1	Kitasatospora griseola	2064
GCF_000716545.1	Kitasatospora phosalacinea	2065
GCF_003634935.1	Saccharothrix australiensis	2072
GCF_003945385.1	Pseudonocardia autotrophica	2074
GCF_006539285.1	Sporolactobacillus inulinus	2078
GCF_003550015.1	Anaeroplasma bactoclasticum	2088
GCF_001547975.1	Mycoplasmopsis arginini	2094
GCF_013367895.1	Metamycoplasma hominis	2098
GCF_013393745.1	Mycoplasmopsis synoviae	2109
GCF_900660715.1	Metamycoplasma arthritidis	2111
GCF_900660525.1	Mycoplasmopsis bovigenitalium	2112
GCF_003925935.1	Mycoplasmopsis californica	2113
GCF_002930155.1	Entomoplasma ellychniae	2114
